CustomerID,Income,Limit,Rating,Cards,Balance
0002-ORFBO,105.038,9142,734,3,232
0002-ORFBOA,69.82,4223,389,1,924
0002-ORFBOC,17.441,2430,253,1,20
0002-ORFBOCH,39.368,3829,248,3,813
0002-ORFBOH,56.375,2850,258,1,109
0002-ORFBOW,53.016,6136,574,2,438
0002-ORFBOX,48.586,5941,357,3,409
0002-ORFBOZ,16.429,2594,120,4,0
0003-MKNFE,39.606,3796,215,3,29
0003-MKNFEA,23.672,6164,417,4,1448
0003-MKNFEC,35.34,4777,392,4,233
0003-MKNFECH,128.949,1160,510,3,1442
0003-MKNFEH,36.74,4944,464,7,667
0003-MKNFEW,73.99,7356,433,2,93
0003-MKNFEX,16.023,6796,432,5,346
0003-MKNFEZ,11.195,5863,481,2,116
0004-TLHLJ,16.303,1134,130,2,0
0004-TLHLJA,152.298,3510,311,6,0
0004-TLHLJC,133.414,10578,437,3,1371
0004-TLHLJCH,99.945,3407,244,6,101
0004-TLHLJH,61.836,7390,474,4,1131
0004-TLHLJW,75.566,4707,369,1,0
0004-TLHLJX,73.546,3210,221,1,136
0004-TLHLJZ,135.236,2160,183,4,0
0011-IGKFF,20.49,1179,152,5,0
0011-IGKFFA,14.425,3706,326,3,579
0011-IGKFFC,19.143,2708,168,2,0
0011-IGKFFCH,39.937,4651,374,1,279
0011-IGKFFH,28.1,5793,434,2,536
0011-IGKFFW,31.315,5141,382,3,847
0011-IGKFFX,77.751,5676,450,3,1448
0011-IGKFFZ,10.866,5489,361,3,488
0013-EXCHZ,160.231,10748,758,3,1549
0013-EXCHZA,152.298,7899,449,5,1553
0013-EXCHZC,55.972,5693,574,4,591
0013-EXCHZCH,40.998,3337,273,3,394
0013-EXCHZH,58.905,2764,168,3,0
0013-EXCHZW,150.037,1612,143,2,0
0013-EXCHZX,34.675,3721,263,2,733
0013-EXCHZZ,22.925,3626,298,4,12
0013-MHZWF,100.004,1300,475,2,50
0013-MHZWFA,146.437,11200,619,4,294
0013-MHZWFC,33.132,1518,198,3,0
0013-MHZWFCH,20.012,2516,203,2,77
0013-MHZWFH,18.958,3331,226,2,381
0013-MHZWFW,53.507,5199,423,2,1000
0013-MHZWFX,33.01,4197,314,2,360
0013-MHZWFZ,17.989,4170,322,3,188
0013-SMEOE,47.929,2607,175,2,0
0013-SMEOEA,10.851,3227,268,2,96
0013-SMEOEC,23.571,4929,329,3,402
0013-SMEOECH,23.052,1641,747,2,1000
